time,Tsp=-0.40,Tsp=-0.20,Tsp=0.00,Tsp=0.20,Tsp=0.40
0.0,0.0,0.0,0.0,0.0,0.0
0.02935036243981501,0.0,0.0,0.0,0.0,0.0
0.05870072487963002,0.0,0.0,0.0,0.0,0.0
0.08805108731944503,0.0,0.0,0.0,0.0,0.0
0.11740144975926003,1.0,1.0,0.0,0.0,0.0
0.14675181219907504,0.0,0.0,0.0,0.0,0.0
0.17610217463889005,1.0,1.0,0.0,0.0,0.0
0.20545253707870506,0.0,0.0,0.0,0.0,0.0
0.23480289951852007,1.0,1.0,0.0,0.0,0.0
0.2641532619583351,0.0,0.0,0.0,0.0,0.0
0.29350362439815014,1.0,1.0,0.0,0.0,0.0
0.3228539868379652,0.0,0.0,0.0,0.0,0.0
0.3522043492777802,1.0,1.0,0.0,0.0,0.0
0.38155471171759525,0.0,0.0,0.0,0.0,0.0
0.4109050741574103,1.0,0.0,0.0,0.0,0.0
0.4402554365972253,0.0,0.0,0.0,0.0,0.0
0.46960579903704036,1.0,1.0,0.0,0.0,0.0
0.4989561614768554,0.0,0.0,0.0,0.0,0.0
0.5283065239166704,1.0,1.0,0.0,0.0,0.0
0.5576568863564855,0.0,0.0,0.0,0.0,0.0
0.5870072487963005,0.0,0.0,0.0,0.0,0.0
0.6163576112361155,1.0,1.0,0.0,0.0,0.0
0.6457079736759306,0.0,0.0,0.0,0.0,0.0
0.6750583361157456,1.0,1.0,0.0,0.0,0.0
0.7044086985555607,0.0,0.0,0.0,0.0,0.0
0.7337590609953757,1.0,1.0,0.0,0.0,0.0
0.7631094234351907,0.0,0.0,0.0,0.0,0.0
0.7924597858750058,0.0,1.0,1.0,0.0,0.0
0.8218101483148208,0.0,0.0,0.0,0.0,0.0
0.8511605107546358,0.0,0.0,0.0,0.0,0.0
0.9098612356342659,0.0,0.0,0.0,0.0,0.0
0.9392115980740809,0.0,0.0,0.0,0.0,0.0
0.968561960513896,0.0,1.0,0.0,0.0,0.0
